SPECIESID,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year
Fis-34824,LC,NA,Unknown,2015
Fis-28196,LC,NA,Unknown,2015
Fis-34825,NA,NA,NA,NA
Fis-34826,LC,NA,Unknown,2015
Fis-34827,LC,NA,Unknown,2015
Fis-34829,NA,NA,NA,NA
Fis-34830,LC,NA,Unknown,2015
Fis-34831,NA,NA,NA,NA
Fis-34832,LC,NA,Unknown,2015
Fis-28200,LC,NA,Unknown,2015
Fis-28201,LC,NA,Unknown,2015
Fis-34834,LC,NA,Unknown,2015
Fis-34837,NA,NA,NA,NA
Fis-28203,LC,NA,Unknown,2015
Fis-34838,LC,NA,Unknown,2015
Fis-34840,LC,NA,Unknown,2015
Fis-34846,NA,NA,NA,NA
Fis-34847,LC,NA,Unknown,2015
Fis-34848,LC,NA,Unknown,2015
Fis-34849,LC,NA,Unknown,2015
Fis-34854,LC,NA,Unknown,2015
Fis-28238,LC,NA,Stable,2015
Fis-28239,LC,NA,Stable,2015
Fis-28240,LC,NA,Stable,2015
Fis-34887,LC,NA,Unknown,2015
Fis-34924,NA,NA,NA,NA
Fis-34960,NA,NA,NA,NA
Fis-28432,NA,NA,NA,NA
Fis-28436,NA,NA,NA,NA
Fis-28451,LC,NA,Unknown,2015
Fis-35155,LC,NA,Stable,2015
Fis-48224,LC,NA,Unknown,2015
Fis-143777,LC,NA,Unknown,2010
Fis-147731,NA,NA,NA,NA
Fis-35242,NA,NA,NA,NA
Fis-35442,NA,NA,NA,NA
Fis-35609,NA,NA,NA,NA
Fis-28955,NA,NA,NA,NA
Fis-35659,LC,NA,Unknown,2015
Fis-21960,NA,NA,NA,NA
Fis-123736,VU,A2bd,Decreasing,2014
Fis-47542,NA,NA,NA,NA
Fis-47773,NA,NA,NA,NA
Fis-47774,NA,NA,NA,NA
Fis-47804,NA,NA,NA,NA
Fis-47814,NA,NA,NA,NA
Fis-48116,NA,NA,NA,NA
Fis-48141,NA,NA,NA,NA
Fis-48153,NA,NA,NA,NA
Fis-48156,LC,NA,Unknown,2015
Fis-48518,NA,NA,NA,NA
Fis-48922,LC,NA,Unknown,2015
Fis-48951,NA,NA,NA,NA
Fis-48978,LC,NA,Unknown,2015
Fis-53281,DD,NA,Unknown,2015
Fis-49043,LC,NA,Unknown,2015
Fis-49079,LC,NA,Unknown,2015
Fis-49668,LC,NA,Unknown,2015
Fis-49711,LC,NA,Unknown,2015
Fis-49717,LC,NA,Unknown,2015
Fis-49729,LC,NA,Unknown,2015
Fis-49741,LC,NA,Unknown,2015
Fis-49750,LC,NA,Unknown,2015
Fis-49755,NA,NA,NA,NA
Fis-49828,LC,NA,Unknown,2015
Fis-49832,LC,NA,Unknown,2015
Fis-49863,NA,NA,NA,NA
Fis-49883,LC,NA,Unknown,2010
Fis-49885,LC,NA,Unknown,2015
Fis-49902,NA,NA,NA,NA
Fis-49909,LC,NA,Unknown,2015
Fis-49913,LC,NA,Unknown,2015
Fis-49921,LC,NA,Unknown,2015
Fis-49922,LC,NA,Unknown,2015
Fis-49934,LC,NA,Unknown,2015
Fis-49936,LC,NA,Unknown,2015
Fis-49951,LC,NA,Unknown,2010
Fis-49952,LC,NA,Unknown,2015
Fis-49957,LC,NA,Unknown,2015
Fis-49981,LC,NA,Unknown,2015
Fis-49983,LC,NA,Unknown,2015
Fis-49988,LC,NA,Unknown,2015
Fis-139574,LC,NA,Unknown,2015
Fis-50009,LC,NA,Unknown,2015
Fis-50030,NA,NA,NA,NA
Fis-50036,NA,NA,NA,NA
Fis-50038,NA,NA,NA,NA
Fis-50042,NA,NA,NA,NA
Fis-50052,LC,NA,Unknown,2015
Fis-50053,LC,NA,Unknown,2010
Fis-50061,LC,NA,Unknown,2015
Fis-50075,NA,NA,NA,NA
Fis-50079,LC,NA,Unknown,2015
Fis-50081,NA,NA,NA,NA
Fis-50089,NA,NA,NA,NA
Fis-50124,NA,NA,NA,NA
Fis-50127,NA,NA,NA,NA
Fis-50130,NA,NA,NA,NA
Fis-50131,NA,NA,NA,NA
Fis-50148,NA,NA,NA,NA
Fis-50152,NA,NA,NA,NA
Fis-61204,NA,NA,NA,NA
Fis-50183,NA,NA,NA,NA
Fis-50186,NA,NA,NA,NA
Fis-50295,NA,NA,NA,NA
Fis-50301,LC,NA,Unknown,2015
Fis-50311,LC,NA,Unknown,2010
Fis-50370,LC,NA,Unknown,2015
Fis-50380,LC,NA,Unknown,2015
URM-2-82,NA,NA,NA,NA
Fis-50396,DD,NA,Unknown,2015
